4	180	720
0	0	1	0
1	0	2	0
2	0	3	0
3	0	4	0
0	1	0.5	0
1	1	1	0
2	1	1.5	0
3	1	2	0
0	2	0.333333	0
1	2	0.666667	0
2	2	1	0
3	2	1.33333	0
0	3	0.25	0
1	3	0.5	0
2	3	0.75	0
3	3	1	0
0	4	0.2	0
1	4	0.4	0
2	4	0.6	0
3	4	0.8	0
0	5	1	-1
1	5	2	-1
2	5	3	-1
3	5	4	-1
0	6	0.5	-0.5
1	6	1	-0.5
2	6	1.5	-0.5
3	6	2	-0.5
0	7	0.333333	-0.333333
1	7	0.666667	-0.333333
2	7	1	-0.333333
3	7	1.33333	-0.333333
0	8	0.25	-0.25
1	8	0.5	-0.25
2	8	0.75	-0.25
3	8	1	-0.25
0	9	0.2	-0.2
1	9	0.4	-0.2
2	9	0.6	-0.2
3	9	0.8	-0.2
0	10	1	-2
1	10	2	-2
2	10	3	-2
3	10	4	-2
0	11	0.5	-1
1	11	1	-1
2	11	1.5	-1
3	11	2	-1
0	12	0.333333	-0.666667
1	12	0.666667	-0.666667
2	12	1	-0.666667
3	12	1.33333	-0.666667
0	13	0.25	-0.5
1	13	0.5	-0.5
2	13	0.75	-0.5
3	13	1	-0.5
0	14	0.2	-0.4
1	14	0.4	-0.4
2	14	0.6	-0.4
3	14	0.8	-0.4
0	15	1	-3
1	15	2	-3
2	15	3	-3
3	15	4	-3
0	16	0.5	-1.5
1	16	1	-1.5
2	16	1.5	-1.5
3	16	2	-1.5
0	17	0.333333	-1
1	17	0.666667	-1
2	17	1	-1
3	17	1.33333	-1
0	18	0.25	-0.75
1	18	0.5	-0.75
2	18	0.75	-0.75
3	18	1	-0.75
0	19	0.2	-0.6
1	19	0.4	-0.6
2	19	0.6	-0.6
3	19	0.8	-0.6
0	20	1	-4
1	20	2	-4
2	20	3	-4
3	20	4	-4
0	21	0.5	-2
1	21	1	-2
2	21	1.5	-2
3	21	2	-2
0	22	0.333333	-1.33333
1	22	0.666667	-1.33333
2	22	1	-1.33333
3	22	1.33333	-1.33333
0	23	0.25	-1
1	23	0.5	-1
2	23	0.75	-1
3	23	1	-1
0	24	0.2	-0.8
1	24	0.4	-0.8
2	24	0.6	-0.8
3	24	0.8	-0.8
0	25	1	-5
1	25	2	-5
2	25	3	-5
3	25	4	-5
0	26	0.5	-2.5
1	26	1	-2.5
2	26	1.5	-2.5
3	26	2	-2.5
0	27	0.333333	-1.66667
1	27	0.666667	-1.66667
2	27	1	-1.66667
3	27	1.33333	-1.66667
0	28	0.25	-1.25
1	28	0.5	-1.25
2	28	0.75	-1.25
3	28	1	-1.25
0	29	0.2	-1
1	29	0.4	-1
2	29	0.6	-1
3	29	0.8	-1
0	30	0	0
1	30	1	0
2	30	2	0
3	30	3	0
0	31	0	0
1	31	0.5	0
2	31	1	0
3	31	1.5	0
0	32	0	0
1	32	0.333333	0
2	32	0.666667	0
3	32	1	0
0	33	0	0
1	33	0.25	0
2	33	0.5	0
3	33	0.75	0
0	34	0	0
1	34	0.2	0
2	34	0.4	0
3	34	0.6	0
0	35	0	-1
1	35	1	-1
2	35	2	-1
3	35	3	-1
0	36	0	-0.5
1	36	0.5	-0.5
2	36	1	-0.5
3	36	1.5	-0.5
0	37	0	-0.333333
1	37	0.333333	-0.333333
2	37	0.666667	-0.333333
3	37	1	-0.333333
0	38	0	-0.25
1	38	0.25	-0.25
2	38	0.5	-0.25
3	38	0.75	-0.25
0	39	0	-0.2
1	39	0.2	-0.2
2	39	0.4	-0.2
3	39	0.6	-0.2
0	40	0	-2
1	40	1	-2
2	40	2	-2
3	40	3	-2
0	41	0	-1
1	41	0.5	-1
2	41	1	-1
3	41	1.5	-1
0	42	0	-0.666667
1	42	0.333333	-0.666667
2	42	0.666667	-0.666667
3	42	1	-0.666667
0	43	0	-0.5
1	43	0.25	-0.5
2	43	0.5	-0.5
3	43	0.75	-0.5
0	44	0	-0.4
1	44	0.2	-0.4
2	44	0.4	-0.4
3	44	0.6	-0.4
0	45	0	-3
1	45	1	-3
2	45	2	-3
3	45	3	-3
0	46	0	-1.5
1	46	0.5	-1.5
2	46	1	-1.5
3	46	1.5	-1.5
0	47	0	-1
1	47	0.333333	-1
2	47	0.666667	-1
3	47	1	-1
0	48	0	-0.75
1	48	0.25	-0.75
2	48	0.5	-0.75
3	48	0.75	-0.75
0	49	0	-0.6
1	49	0.2	-0.6
2	49	0.4	-0.6
3	49	0.6	-0.6
0	50	0	-4
1	50	1	-4
2	50	2	-4
3	50	3	-4
0	51	0	-2
1	51	0.5	-2
2	51	1	-2
3	51	1.5	-2
0	52	0	-1.33333
1	52	0.333333	-1.33333
2	52	0.666667	-1.33333
3	52	1	-1.33333
0	53	0	-1
1	53	0.25	-1
2	53	0.5	-1
3	53	0.75	-1
0	54	0	-0.8
1	54	0.2	-0.8
2	54	0.4	-0.8
3	54	0.6	-0.8
0	55	0	-5
1	55	1	-5
2	55	2	-5
3	55	3	-5
0	56	0	-2.5
1	56	0.5	-2.5
2	56	1	-2.5
3	56	1.5	-2.5
0	57	0	-1.66667
1	57	0.333333	-1.66667
2	57	0.666667	-1.66667
3	57	1	-1.66667
0	58	0	-1.25
1	58	0.25	-1.25
2	58	0.5	-1.25
3	58	0.75	-1.25
0	59	0	-1
1	59	0.2	-1
2	59	0.4	-1
3	59	0.6	-1
0	60	-1	0
1	60	0	0
2	60	1	0
3	60	2	0
0	61	-0.5	0
1	61	0	0
2	61	0.5	0
3	61	1	0
0	62	-0.333333	0
1	62	0	0
2	62	0.333333	0
3	62	0.666667	0
0	63	-0.25	0
1	63	0	0
2	63	0.25	0
3	63	0.5	0
0	64	-0.2	0
1	64	0	0
2	64	0.2	0
3	64	0.4	0
0	65	-1	-1
1	65	0	-1
2	65	1	-1
3	65	2	-1
0	66	-0.5	-0.5
1	66	0	-0.5
2	66	0.5	-0.5
3	66	1	-0.5
0	67	-0.333333	-0.333333
1	67	0	-0.333333
2	67	0.333333	-0.333333
3	67	0.666667	-0.333333
0	68	-0.25	-0.25
1	68	0	-0.25
2	68	0.25	-0.25
3	68	0.5	-0.25
0	69	-0.2	-0.2
1	69	0	-0.2
2	69	0.2	-0.2
3	69	0.4	-0.2
0	70	-1	-2
1	70	0	-2
2	70	1	-2
3	70	2	-2
0	71	-0.5	-1
1	71	0	-1
2	71	0.5	-1
3	71	1	-1
0	72	-0.333333	-0.666667
1	72	0	-0.666667
2	72	0.333333	-0.666667
3	72	0.666667	-0.666667
0	73	-0.25	-0.5
1	73	0	-0.5
2	73	0.25	-0.5
3	73	0.5	-0.5
0	74	-0.2	-0.4
1	74	0	-0.4
2	74	0.2	-0.4
3	74	0.4	-0.4
0	75	-1	-3
1	75	0	-3
2	75	1	-3
3	75	2	-3
0	76	-0.5	-1.5
1	76	0	-1.5
2	76	0.5	-1.5
3	76	1	-1.5
0	77	-0.333333	-1
1	77	0	-1
2	77	0.333333	-1
3	77	0.666667	-1
0	78	-0.25	-0.75
1	78	0	-0.75
2	78	0.25	-0.75
3	78	0.5	-0.75
0	79	-0.2	-0.6
1	79	0	-0.6
2	79	0.2	-0.6
3	79	0.4	-0.6
0	80	-1	-4
1	80	0	-4
2	80	1	-4
3	80	2	-4
0	81	-0.5	-2
1	81	0	-2
2	81	0.5	-2
3	81	1	-2
0	82	-0.333333	-1.33333
1	82	0	-1.33333
2	82	0.333333	-1.33333
3	82	0.666667	-1.33333
0	83	-0.25	-1
1	83	0	-1
2	83	0.25	-1
3	83	0.5	-1
0	84	-0.2	-0.8
1	84	0	-0.8
2	84	0.2	-0.8
3	84	0.4	-0.8
0	85	-1	-5
1	85	0	-5
2	85	1	-5
3	85	2	-5
0	86	-0.5	-2.5
1	86	0	-2.5
2	86	0.5	-2.5
3	86	1	-2.5
0	87	-0.333333	-1.66667
1	87	0	-1.66667
2	87	0.333333	-1.66667
3	87	0.666667	-1.66667
0	88	-0.25	-1.25
1	88	0	-1.25
2	88	0.25	-1.25
3	88	0.5	-1.25
0	89	-0.2	-1
1	89	0	-1
2	89	0.2	-1
3	89	0.4	-1
0	90	-2	0
1	90	-1	0
2	90	0	0
3	90	1	0
0	91	-1	0
1	91	-0.5	0
2	91	0	0
3	91	0.5	0
0	92	-0.666667	0
1	92	-0.333333	0
2	92	0	0
3	92	0.333333	0
0	93	-0.5	0
1	93	-0.25	0
2	93	0	0
3	93	0.25	0
0	94	-0.4	0
1	94	-0.2	0
2	94	0	0
3	94	0.2	0
0	95	-2	-1
1	95	-1	-1
2	95	0	-1
3	95	1	-1
0	96	-1	-0.5
1	96	-0.5	-0.5
2	96	0	-0.5
3	96	0.5	-0.5
0	97	-0.666667	-0.333333
1	97	-0.333333	-0.333333
2	97	0	-0.333333
3	97	0.333333	-0.333333
0	98	-0.5	-0.25
1	98	-0.25	-0.25
2	98	0	-0.25
3	98	0.25	-0.25
0	99	-0.4	-0.2
1	99	-0.2	-0.2
2	99	0	-0.2
3	99	0.2	-0.2
0	100	-2	-2
1	100	-1	-2
2	100	0	-2
3	100	1	-2
0	101	-1	-1
1	101	-0.5	-1
2	101	0	-1
3	101	0.5	-1
0	102	-0.666667	-0.666667
1	102	-0.333333	-0.666667
2	102	0	-0.666667
3	102	0.333333	-0.666667
0	103	-0.5	-0.5
1	103	-0.25	-0.5
2	103	0	-0.5
3	103	0.25	-0.5
0	104	-0.4	-0.4
1	104	-0.2	-0.4
2	104	0	-0.4
3	104	0.2	-0.4
0	105	-2	-3
1	105	-1	-3
2	105	0	-3
3	105	1	-3
0	106	-1	-1.5
1	106	-0.5	-1.5
2	106	0	-1.5
3	106	0.5	-1.5
0	107	-0.666667	-1
1	107	-0.333333	-1
2	107	0	-1
3	107	0.333333	-1
0	108	-0.5	-0.75
1	108	-0.25	-0.75
2	108	0	-0.75
3	108	0.25	-0.75
